epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.3754,0.64459,2.22279,1.022,0.76681,0.77871,0.81984,0.70097,0.52884,1.13223,0.87855,0.000330827,0.000330827,0.000330827
2,45.3516,0.61181,1.18747,0.99393,0.85549,0.73684,0.83262,0.70659,0.53689,0.9009,0.88589,0.000660873,0.000660873,0.000660873
3,67.3297,0.60034,0.98633,0.98605,0.86071,0.77399,0.84281,0.71881,0.54909,0.73821,0.89842,0.000987619,0.000987619,0.000987619
4,89.2723,0.59125,0.82662,0.98168,0.89598,0.73508,0.81527,0.70054,0.51713,0.64932,0.88036,0.00098515,0.00098515,0.00098515
5,111.194,0.58182,0.71265,0.97463,0.88497,0.7973,0.85985,0.74777,0.5068,0.67302,0.88683,0.0009802,0.0009802,0.0009802
6,133.18,0.55873,0.64011,0.96242,0.889,0.87441,0.88966,0.76018,0.53773,0.49918,0.89423,0.00097525,0.00097525,0.00097525
7,155.218,0.55452,0.58911,0.96205,0.90507,0.82897,0.89159,0.75545,0.5057,0.52949,0.87664,0.0009703,0.0009703,0.0009703
8,177.216,0.52882,0.54119,0.95326,0.90301,0.86317,0.8987,0.75985,0.47681,0.47143,0.86275,0.00096535,0.00096535,0.00096535
9,199.242,0.52243,0.52885,0.95129,0.88543,0.88315,0.90116,0.77178,0.47407,0.53039,0.8557,0.0009604,0.0009604,0.0009604
10,221.365,0.5244,0.51645,0.95407,0.94693,0.87965,0.91817,0.77228,0.51334,0.44203,0.88613,0.00095545,0.00095545,0.00095545
11,243.516,0.51349,0.49265,0.94877,0.90634,0.8887,0.89925,0.78274,0.48809,0.42874,0.87417,0.0009505,0.0009505,0.0009505
12,265.648,0.5089,0.4659,0.93486,0.93384,0.91163,0.91522,0.77512,0.49632,0.3972,0.88239,0.00094555,0.00094555,0.00094555
13,287.757,0.50073,0.45683,0.93996,0.94979,0.89828,0.91069,0.78656,0.45974,0.3897,0.86592,0.0009406,0.0009406,0.0009406
14,309.925,0.49735,0.45422,0.94216,0.90615,0.88364,0.91284,0.78169,0.47761,0.45293,0.87579,0.00093565,0.00093565,0.00093565
15,332.038,0.49337,0.44529,0.9346,0.92187,0.88118,0.90619,0.80212,0.44516,0.37703,0.86029,0.0009307,0.0009307,0.0009307
16,354.195,0.48892,0.4344,0.93402,0.93836,0.90617,0.91582,0.80938,0.45018,0.35683,0.85139,0.00092575,0.00092575,0.00092575
17,376.396,0.47239,0.40948,0.92766,0.91826,0.89043,0.91835,0.80875,0.44609,0.36469,0.84262,0.0009208,0.0009208,0.0009208
18,398.581,0.46886,0.40659,0.92306,0.95845,0.89844,0.92963,0.81298,0.45206,0.34484,0.8509,0.00091585,0.00091585,0.00091585
19,420.817,0.4735,0.39711,0.92095,0.94192,0.9126,0.92589,0.81733,0.42169,0.33671,0.83834,0.0009109,0.0009109,0.0009109
20,443.053,0.46712,0.40072,0.92143,0.96608,0.8963,0.93069,0.81463,0.46385,0.33841,0.85651,0.00090595,0.00090595,0.00090595
21,465.264,0.4632,0.39481,0.92148,0.88356,0.91116,0.91709,0.80374,0.4333,0.34046,0.84958,0.000901,0.000901,0.000901
22,487.466,0.46604,0.39988,0.92652,0.95294,0.8787,0.91775,0.80806,0.45622,0.34844,0.86076,0.00089605,0.00089605,0.00089605
23,509.666,0.44724,0.38148,0.91871,0.95508,0.90475,0.93425,0.80851,0.45055,0.33886,0.85829,0.0008911,0.0008911,0.0008911
24,531.852,0.46293,0.39413,0.92223,0.9411,0.88745,0.92202,0.80099,0.43835,0.33781,0.85632,0.00088615,0.00088615,0.00088615
25,554.053,0.45667,0.38542,0.91929,0.95147,0.88076,0.92874,0.81552,0.43898,0.32994,0.85153,0.0008812,0.0008812,0.0008812
26,576.262,0.44625,0.38156,0.91358,0.96464,0.91468,0.93099,0.8248,0.42483,0.31091,0.84193,0.00087625,0.00087625,0.00087625
27,598.528,0.44302,0.36619,0.91778,0.95613,0.90154,0.92462,0.81359,0.4453,0.34609,0.84753,0.0008713,0.0008713,0.0008713
28,620.746,0.45898,0.37279,0.91194,0.95256,0.90183,0.91423,0.8042,0.44994,0.32649,0.85604,0.00086635,0.00086635,0.00086635
29,642.965,0.4348,0.35874,0.90976,0.91256,0.91864,0.92255,0.81606,0.44594,0.32886,0.85565,0.0008614,0.0008614,0.0008614
30,665.187,0.44257,0.36313,0.91468,0.95665,0.8903,0.92118,0.81766,0.44374,0.31859,0.84789,0.00085645,0.00085645,0.00085645
31,687.42,0.43393,0.3573,0.91154,0.96341,0.90997,0.92963,0.81958,0.44352,0.32119,0.84632,0.0008515,0.0008515,0.0008515
32,709.638,0.43526,0.35686,0.91549,0.9603,0.91784,0.92798,0.82169,0.43375,0.31243,0.84535,0.00084655,0.00084655,0.00084655
33,731.872,0.43603,0.35087,0.91591,0.92934,0.91855,0.93126,0.81607,0.45303,0.32105,0.85537,0.0008416,0.0008416,0.0008416
34,754.112,0.42994,0.35013,0.90318,0.95196,0.9136,0.93007,0.82605,0.41871,0.31324,0.84097,0.00083665,0.00083665,0.00083665
35,776.44,0.43396,0.34572,0.9128,0.94964,0.90005,0.92744,0.8271,0.43085,0.29552,0.84033,0.0008317,0.0008317,0.0008317
36,798.749,0.4239,0.34396,0.90934,0.93993,0.91901,0.93254,0.81911,0.42132,0.30744,0.83725,0.00082675,0.00082675,0.00082675
37,821.005,0.42724,0.34617,0.90974,0.95053,0.91502,0.93744,0.83143,0.42544,0.28651,0.83585,0.0008218,0.0008218,0.0008218
38,843.291,0.41533,0.32948,0.90658,0.93675,0.9078,0.92325,0.82387,0.41315,0.30017,0.83469,0.00081685,0.00081685,0.00081685
39,865.54,0.4226,0.33739,0.90725,0.92765,0.91564,0.92554,0.82027,0.44092,0.30865,0.84437,0.0008119,0.0008119,0.0008119
40,887.803,0.42297,0.33327,0.90162,0.95122,0.91812,0.93282,0.82363,0.42657,0.28926,0.84313,0.00080695,0.00080695,0.00080695
41,910.059,0.41609,0.33123,0.90581,0.9729,0.9084,0.9289,0.81758,0.43343,0.28518,0.8507,0.000802,0.000802,0.000802
42,932.33,0.4102,0.32173,0.89864,0.92987,0.9329,0.93911,0.83039,0.4268,0.28694,0.84448,0.00079705,0.00079705,0.00079705
43,954.606,0.41249,0.33522,0.90617,0.95819,0.90205,0.92145,0.81722,0.41348,0.30852,0.83824,0.0007921,0.0007921,0.0007921
44,976.878,0.40502,0.32308,0.89727,0.96997,0.89256,0.93976,0.83061,0.41728,0.28678,0.84509,0.00078715,0.00078715,0.00078715
45,999.149,0.41735,0.33084,0.90259,0.93761,0.91229,0.93228,0.82959,0.42386,0.29878,0.83891,0.0007822,0.0007822,0.0007822
46,1021.43,0.4054,0.31517,0.90261,0.96724,0.91753,0.93339,0.82622,0.41824,0.30225,0.83391,0.00077725,0.00077725,0.00077725
47,1043.7,0.39861,0.31865,0.89228,0.97566,0.91575,0.93194,0.8337,0.41359,0.2862,0.83229,0.0007723,0.0007723,0.0007723
48,1066.03,0.39877,0.31006,0.89151,0.95455,0.89931,0.93104,0.82249,0.42145,0.29402,0.8368,0.00076735,0.00076735,0.00076735
49,1088.3,0.40062,0.31759,0.90213,0.95216,0.91731,0.93416,0.82948,0.42804,0.29728,0.8469,0.0007624,0.0007624,0.0007624
50,1110.58,0.40361,0.31028,0.89807,0.92613,0.90635,0.92292,0.82128,0.41933,0.30778,0.83536,0.00075745,0.00075745,0.00075745
51,1132.87,0.39905,0.31739,0.89779,0.93018,0.91571,0.91492,0.82333,0.41391,0.29532,0.8351,0.0007525,0.0007525,0.0007525
52,1155.15,0.40449,0.31811,0.89861,0.95051,0.90207,0.91547,0.8283,0.40934,0.29352,0.83063,0.00074755,0.00074755,0.00074755
53,1177.44,0.40098,0.31151,0.89672,0.96174,0.92369,0.94247,0.83719,0.42123,0.28533,0.84175,0.0007426,0.0007426,0.0007426
54,1199.77,0.39771,0.31054,0.89681,0.95847,0.91632,0.92816,0.83065,0.40827,0.2822,0.83487,0.00073765,0.00073765,0.00073765
